rownames;state;year;cpi;pop;packpc;income;tax;avgprs;taxs
1;AL;1985;1.07599997520447;3973000;116.486282348633;46014968;32.5000038146973;102.181671142578;33.3483352661133
2;AR;1985;1.07599997520447;2327000;128.534591674805;26210736;37;101.474998474121;37
3;AZ;1985;1.07599997520447;3184000;104.522613525391;43956936;31;108.578750610352;36.1704177856445
4;CA;1985;1.07599997520447;26444000;100.363037109375;447102816;26;107.837341308594;32.1040000915527
5;CO;1985;1.07599997520447;3209000;112.963539123535;49466672;31;94.2666625976563;31
6;CT;1985;1.07599997520447;3201000;109.278350830078;60063368;42;128.024993896484;51.4833335876465
7;DE;1985;1.07599997520447;618000;143.851135253906;9927301;30;102.491661071777;30
8;FL;1985;1.07599997520447;11352000;122.181121826172;166919248;37;115.290000915527;42.4900016784668
9;GA;1985;1.07599997520447;5963000;127.234619140625;78364336;28;97.0251693725586;28.841833114624
10;IA;1985;1.07599997520447;2830000;113.745582580566;37902896;34;101.842002868652;37.9169998168945
49;AL;1986;1.09599995613098;3992000;117.159317016602;48703940;32.5000038146973;107.989166259766;33.4058380126953
50;AR;1986;1.09599995613098;2332000;127.658660888672;27363680;37;109.083335876465;37
51;AZ;1986;1.09599995613098;3309000;103.294044494629;47848132;31;116.199996948242;36.533332824707
52;CA;1986;1.09599995613098;27106000;96.3661193847656;477762464;26;110.354835510254;32.2465019226074
53;CO;1986;1.09599995613098;3238000;109.234092712402;51062272;31;100.058334350586;31
54;CT;1986;1.09599995613098;3224000;106.761787414551;64597832;42;130.625991821289;51.6759986877441
55;DE;1986;1.09599995613098;628000;140.76432800293;10530821;30;108.816665649414;30
56;FL;1986;1.09599995613098;11669000;120.61873626709;179951680;37;121.940002441406;42.8066673278809
57;GA;1986;1.09599995613098;6085000;126.573539733887;85125968;28;103.219833374023;28.9031658172607
58;IA;1986;1.09599995613098;2792000;107.77220916748;39144360;40;114.374000549316;44.398998260498
